4-Opponent Starting Hand Analysis

Rank,Opponents,Faces,Type,Card1,Card2,Hash,Label,WinOrDraw,Lose,Total,CoinFlip,WinOrDrawPercent,CoinFlipDeltaPercent
45,4,J8,suited,6,9,321,8s Js,12267408997558137,35686667183452863,47954076181011000,9590815236202200,25.58,5.58
46,4,T8,suited,6,8,320,8s Ts,12258744224245947,35695331956765053,47954076181011000,9590815236202200,25.56,5.56
47,4,K6,suited,4,11,219,6s Ks,12197212497706764,35756863683304236,47954076181011000,9590815236202200,25.43,5.43
48,4,A8,offsuit,6,25,337,8s Ah,12179856914237949,35774219266773051,47954076181011000,9590815236202200,25.39,5.39
49,4,98,suited,6,7,319,8s 9s,12064317671575626,35889758509435374,47954076181011000,9590815236202200,25.15,5.15
50,4,K9,offsuit,7,24,388,9s Kh,12042162489793521,35911913691217479,47954076181011000,9590815236202200,25.11,5.11
51,4,66,pair,4,17,225,6s 6h,11986516357226508,35967559823784492,47954076181011000,9590815236202200,24.99,4.99
52,4,K5,suited,3,11,167,5s Ks,11913598284986292,36040477896024708,47954076181011000,9590815236202200,24.84,4.84
53,4,A7,offsuit,5,25,285,7s Ah,11732183540637036,36221892640373964,47954076181011000,9590815236202200,24.46,4.46
54,4,Q9,offsuit,7,23,387,9s Qh,11678670906375897,36275405274635103,47954076181011000,9590815236202200,24.35,4.35
55,4,K4,suited,2,11,115,4s Ks,11610410913694305,36343665267316695,47954076181011000,9590815236202200,24.21,4.21
56,4,Q7,suited,5,10,270,7s Qs,11597210690268006,36356865490742994,47954076181011000,9590815236202200,24.18,4.18
57,4,A5,offsuit,3,25,181,5s Ah,11586961159704183,36367115021306817,47954076181011000,9590815236202200,24.16,4.16
58,4,T9,offsuit,7,21,385,9s Th,11559848954922714,36394227226088286,47954076181011000,9590815236202200,24.1,4.1
59,4,J9,offsuit,7,22,386,9s Jh,11536552027656372,36417524153354628,47954076181011000,9590815236202200,24.05,4.05
60,4,J7,suited,5,9,269,7s Js,11401705735382379,36552370445628621,47954076181011000,9590815236202200,23.77,3.77
61,4,T7,suited,5,8,268,7s Ts,11392388427224160,36561687753786840,47954076181011000,9590815236202200,23.75,3.75
62,4,Q6,suited,4,10,218,6s Qs,11341504262625819,36612571918385181,47954076181011000,9590815236202200,23.65,3.65
63,4,K3,suited,1,11,63,3s Ks,11321017644444435,36633058536566565,47954076181011000,9590815236202200,23.6,3.6
64,4,87,suited,5,6,266,7s 8s,11319836437754814,36634239743256186,47954076181011000,9590815236202200,23.6,3.6
65,4,97,suited,5,7,267,7s 9s,11299658960745627,36654417220265373,47954076181011000,9590815236202200,23.56,3.56
66,4,A6,offsuit,4,25,233,6s Ah,11257568999306139,36696507181704861,47954076181011000,9590815236202200,23.47,3.47
67,4,A4,offsuit,2,25,129,4s Ah,11226452326440714,36727623854570286,47954076181011000,9590815236202200,23.41,3.41
68,4,Q5,suited,3,10,166,5s Qs,11065595801486844,36888480379524156,47954076181011000,9590815236202200,23.07,3.07
69,4,K2,suited,0,11,11,2s Ks,11041879240285872,36912196940725128,47954076181011000,9590815236202200,23.02,3.02
70,4,K8,offsuit,6,24,336,8s Kh,11035267386427947,36918808794583053,47954076181011000,9590815236202200,23.01,3.01
71,4,55,pair,3,16,172,5s 5h,11015823657031908,36938252523979092,47954076181011000,9590815236202200,22.97,2.97
72,4,A3,offsuit,1,25,77,3s Ah,10869677944932720,37084398236078280,47954076181011000,9590815236202200,22.66,2.66
73,4,Q4,suited,2,10,114,4s Qs,10769857413468696,37184218767542304,47954076181011000,9590815236202200,22.45,2.45
74,4,76,suited,4,5,213,6s 7s,10692711589078176,37261364591932824,47954076181011000,9590815236202200,22.29,2.29
75,4,K7,offsuit,5,24,284,7s Kh,10683858533235693,37270217647775307,47954076181011000,9590815236202200,22.27,2.27
76,4,Q8,offsuit,6,23,335,8s Qh,10660360577695830,37293715603315170,47954076181011000,9590815236202200,22.23,2.23
77,4,J6,suited,4,9,217,6s Js,10619458711165257,37334617469845743,47954076181011000,9590815236202200,22.14,2.14
78,4,86,suited,4,6,214,6s 8s,10606858317009720,37347217864001280,47954076181011000,9590815236202200,22.11,2.11
79,4,T6,suited,4,8,216,6s Ts,10583929545110043,37370146635900957,47954076181011000,9590815236202200,22.07,2.07
80,4,T8,offsuit,6,21,333,8s Th,10556896297582545,37397179883428455,47954076181011000,9590815236202200,22.01,2.01
81,4,J8,offsuit,6,22,334,8s Jh,10522984779487650,37431091401523350,47954076181011000,9590815236202200,21.94,1.94
82,4,96,suited,4,7,215,6s 9s,10511251454567100,37442824726443900,47954076181011000,9590815236202200,21.91,1.91
83,4,Q3,suited,1,10,62,3s Qs,10485771714984345,37468304466026655,47954076181011000,9590815236202200,21.86,1.86
84,4,A2,offsuit,0,25,25,2s Ah,10477630265176239,37476445915834761,47954076181011000,9590815236202200,21.84,1.84
85,4,J5,suited,3,9,165,5s Js,10416152152811367,37537924028199633,47954076181011000,9590815236202200,21.72,1.72
86,4,98,offsuit,6,20,332,8s 9h,10376516191156200,37577559989854800,47954076181011000,9590815236202200,21.63,1.63
87,4,K6,offsuit,4,24,232,6s Kh,10310837095192731,37643239085818269,47954076181011000,9590815236202200,21.5,1.5
88,4,Q2,suited,0,10,10,2s Qs,10211477837237205,37742598343773795,47954076181011000,9590815236202200,21.29,1.29
89,4,65,suited,3,4,160,5s 6s,10162841703010056,37791234478000944,47954076181011000,9590815236202200,21.19,1.19
90,4,J4,suited,2,9,113,4s Js,10127111377735140,37826964803275860,47954076181011000,9590815236202200,21.11,1.11
91,4,44,pair,2,15,119,4s 4h,10113506104491768,37840570076519232,47954076181011000,9590815236202200,21.08,1.08
92,4,75,suited,3,5,161,5s 7s,10028152329206328,37925923851804672,47954076181011000,9590815236202200,20.91,0.91
93,4,K5,offsuit,3,24,180,5s Kh,9997378655294400,37956697525716600,47954076181011000,9590815236202200,20.84,0.84
94,4,85,suited,3,6,162,5s 8s,9868138508641533,38085937672369467,47954076181011000,9590815236202200,20.57,0.57
95,4,T5,suited,3,8,164,5s Ts,9859943370467553,38094132810543447,47954076181011000,9590815236202200,20.56,0.56
96,4,J3,suited,1,9,61,3s Js,9848041181216124,38106034999794876,47954076181011000,9590815236202200,20.53,0.53
97,4,54,suited,2,3,107,4s 5s,9777231378775191,38176844802235809,47954076181011000,9590815236202200,20.38,0.38
98,4,95,suited,3,7,163,5s 9s,9758945747631927,38195130433379073,47954076181011000,9590815236202200,20.35,0.35
99,4,Q7,offsuit,5,23,283,7s Qh,9741807735108120,38212268445902880,47954076181011000,9590815236202200,20.31,0.31
100,4,K4,offsuit,2,24,128,4s Kh,9658813114662639,38295263066348361,47954076181011000,9590815236202200,20.14,0.14
101,4,T4,suited,2,8,112,4s Ts,9638488004395200,38315588176615800,47954076181011000,9590815236202200,20.09,0.09
102,4,T7,offsuit,5,21,281,7s Th,9616697655762570,38337378525248430,47954076181011000,9590815236202200,20.05,0.05
103,4,87,offsuit,5,19,279,7s 8h,9591694802534808,38362381378476192,47954076181011000,9590815236202200,20,0
104,4,J7,offsuit,5,22,282,7s Jh,9583595882244561,38370480298766439,47954076181011000,9590815236202200,19.98,-0.01
105,4,J2,suited,0,9,9,2s Js,9578381400097320,38375694780913680,47954076181011000,9590815236202200,19.97,-0.02
106,4,97,offsuit,5,20,280,7s 9h,9546064145497101,38408012035513899,47954076181011000,9590815236202200,19.9,-0.09
107,4,64,suited,2,4,108,4s 6s,9478953769692414,38475122411318586,47954076181011000,9590815236202200,19.76,-0.23
108,4,Q6,offsuit,4,23,231,6s Qh,9455808007549881,38498268173461119,47954076181011000,9590815236202200,19.71,-0.28
109,4,T3,suited,1,8,60,3s Ts,9364159102915878,38589917078095122,47954076181011000,9590815236202200,19.52,-0.47
110,4,33,pair,1,14,66,3s 3h,9351186579231948,38602889601779052,47954076181011000,9590815236202200,19.5,-0.49
111,4,K3,offsuit,1,24,76,3s Kh,9337010837120727,38617065343890273,47954076181011000,9590815236202200,19.47,-0.52
112,4,74,suited,2,5,109,4s 7s,9270672716438163,38683403464572837,47954076181011000,9590815236202200,19.33,-0.66
113,4,Q5,offsuit,3,23,179,5s Qh,9150427462659480,38803648718351520,47954076181011000,9590815236202200,19.08,-0.91
114,4,53,suited,1,3,55,3s 5s,9106492424618286,38847583756392714,47954076181011000,9590815236202200,18.99,-1
115,4,84,suited,2,6,110,4s 8s,9099989846220243,38854086334790757,47954076181011000,9590815236202200,18.97,-1.02
116,4,T2,suited,0,8,8,2s Ts,9098927144964369,38855149036046631,47954076181011000,9590815236202200,18.97,-1.02
117,4,K2,offsuit,0,24,24,2s Kh,9028136278168323,38925939902842677,47954076181011000,9590815236202200,18.82,-1.17
118,4,94,suited,2,7,111,4s 9s,9024756886396191,38929319294614809,47954076181011000,9590815236202200,18.81,-1.18
119,4,76,offsuit,4,18,226,6s 7h,8928627835111773,39025448345899227,47954076181011000,9590815236202200,18.61,-1.38
120,4,Q4,offsuit,2,23,127,4s Qh,8819817930214896,39134258250796104,47954076181011000,9590815236202200,18.39,-1.6
121,4,86,offsuit,4,19,227,6s 8h,8818888628263941,39135187552747059,47954076181011000,9590815236202200,18.39,-1.6
122,4,93,suited,1,7,59,3s 9s,8814570648723135,39139505532287865,47954076181011000,9590815236202200,18.38,-1.61
123,4,43,suited,1,2,54,3s 4s,8742499460820066,39211576720190934,47954076181011000,9590815236202200,18.23,-1.76
124,4,T6,offsuit,4,21,229,6s Th,8740892210233518,39213183970777482,47954076181011000,9590815236202200,18.22,-1.77
125,4,J6,offsuit,4,22,230,6s Jh,8735790439019337,39218285741991663,47954076181011000,9590815236202200,18.21,-1.78
126,4,63,suited,1,4,56,3s 6s,8734729136279940,39219347044731060,47954076181011000,9590815236202200,18.21,-1.78
127,4,22,pair,0,13,13,2s 2h,8723906558245698,39230169622765302,47954076181011000,9590815236202200,18.19,-1.8
128,4,96,offsuit,4,20,228,6s 9h,8692008372307866,39262067808703134,47954076181011000,9590815236202200,18.12,-1.87
129,4,92,suited,0,7,7,2s 9s,8553961365854403,39400114815156597,47954076181011000,9590815236202200,17.83,-2.16
130,4,73,suited,1,5,57,3s 7s,8517906234371976,39436169946639024,47954076181011000,9590815236202200,17.76,-2.23
131,4,J5,offsuit,3,22,178,5s Jh,8508028768252209,39446047412758791,47954076181011000,9590815236202200,17.74,-2.25
132,4,Q3,offsuit,1,23,75,3s Qh,8503698341228313,39450377839782687,47954076181011000,9590815236202200,17.73,-2.26
133,4,83,suited,1,6,58,3s 8s,8385119328698235,39568956852312765,47954076181011000,9590815236202200,17.48,-2.51
134,4,52,suited,0,3,3,2s 5s,8373181920352674,39580894260658326,47954076181011000,9590815236202200,17.46,-2.53
135,4,65,offsuit,3,17,173,5s 6h,8366502940540101,39587573240470899,47954076181011000,9590815236202200,17.44,-2.55
136,4,75,offsuit,3,18,174,5s 7h,8210425635822030,39743650545188970,47954076181011000,9590815236202200,17.12,-2.87
137,4,Q2,offsuit,0,23,23,2s Qh,8200022256493002,39754053924517998,47954076181011000,9590815236202200,17.09,-2.9
138,4,82,suited,0,6,6,2s 8s,8185757549123133,39768318631887867,47954076181011000,9590815236202200,17.06,-2.93
139,4,J4,offsuit,2,22,126,4s Jh,8184511785933144,39769564395077856,47954076181011000,9590815236202200,17.06,-2.93
140,4,42,suited,0,2,2,2s 4s,8085241006676394,39868835174334606,47954076181011000,9590815236202200,16.86,-3.13
141,4,85,offsuit,3,19,175,5s 8h,8020851929112267,39933224251898733,47954076181011000,9590815236202200,16.72,-3.27
142,4,62,suited,0,4,4,2s 6s,7996526969501979,39957549211509021,47954076181011000,9590815236202200,16.67,-3.32
143,4,T5,offsuit,3,21,177,5s Th,7958159560607415,39995916620403585,47954076181011000,9590815236202200,16.59,-3.4
144,4,54,offsuit,2,16,120,4s 5h,7952174631197205,40001901549813795,47954076181011000,9590815236202200,16.58,-3.41
145,4,95,offsuit,3,20,176,5s 9h,7879174131664758,40074902049346242,47954076181011000,9590815236202200,16.43,-3.56
146,4,J3,offsuit,1,22,74,3s Jh,7873692453668187,40080383727342813,47954076181011000,9590815236202200,16.41,-3.58
147,4,72,suited,0,5,5,2s 7s,7820215427184828,40133860753826172,47954076181011000,9590815236202200,16.3,-3.69
148,4,32,suited,0,1,1,2s 3s,7737789748793100,40216286432217900,47954076181011000,9590815236202200,16.13,-3.86
149,4,T4,offsuit,2,21,125,4s Th,7706980610131239,40247095570879761,47954076181011000,9590815236202200,16.07,-3.92
150,4,64,offsuit,2,17,121,4s 6h,7624367034050013,40329709146960987,47954076181011000,9590815236202200,15.89,-4.1
151,4,J2,offsuit,0,22,22,2s Jh,7574914213013937,40379161967997063,47954076181011000,9590815236202200,15.79,-4.2
152,4,T3,offsuit,1,21,73,3s Th,7401146497673829,40552929683337171,47954076181011000,9590815236202200,15.43,-4.56
153,4,74,offsuit,2,18,122,4s 7h,7389087114878628,40564989066132372,47954076181011000,9590815236202200,15.4,-4.59
154,4,53,offsuit,1,16,68,3s 5h,7226537553448992,40727538627562008,47954076181011000,9590815236202200,15.06,-4.93
155,4,84,offsuit,2,19,123,4s 8h,7187747791498869,40766328389512131,47954076181011000,9590815236202200,14.98,-5.01
156,4,T2,offsuit,0,21,21,2s Th,7107012519764604,40847063661246396,47954076181011000,9590815236202200,14.82,-5.17
157,4,94,offsuit,2,20,124,4s 9h,7082052390847188,40872023790163812,47954076181011000,9590815236202200,14.76,-5.23
158,4,93,offsuit,1,20,72,3s 9h,6844862947471533,41109213233539467,47954076181011000,9590815236202200,14.27,-5.72
159,4,43,offsuit,1,15,67,3s 4h,6838362930117054,41115713250893946,47954076181011000,9590815236202200,14.26,-5.73
160,4,63,offsuit,1,17,69,3s 6h,6819636848186475,41134439332824525,47954076181011000,9590815236202200,14.22,-5.77
161,4,73,offsuit,1,18,70,3s 7h,6574820093139774,41379256087871226,47954076181011000,9590815236202200,13.71,-6.28
162,4,92,offsuit,0,20,20,2s 9h,6555570567988959,41398505613022041,47954076181011000,9590815236202200,13.67,-6.32
163,4,52,offsuit,0,16,16,2s 5h,6435702636653949,41518373544357051,47954076181011000,9590815236202200,13.42,-6.57
164,4,83,offsuit,1,19,71,3s 8h,6413589219899949,41540486961111051,47954076181011000,9590815236202200,13.37,-6.62
165,4,82,offsuit,0,19,19,2s 8h,6189859184812245,41764216996198755,47954076181011000,9590815236202200,12.9,-7.09
166,4,42,offsuit,0,15,15,2s 4h,6129313464821919,41824762716189081,47954076181011000,9590815236202200,12.78,-7.21
167,4,62,offsuit,0,17,17,2s 6h,6023113894691493,41930962286319507,47954076181011000,9590815236202200,12.56,-7.43
168,4,72,offsuit,0,18,18,2s 7h,5821141475995764,42132934705015236,47954076181011000,9590815236202200,12.13,-7.86
169,4,32,offsuit,0,14,14,2s 3h,5753943233905770,42200132947105230,47954076181011000,9590815236202200,11.99,-8
